scans/scene0191_00/depth scans/scene0191_00/color scans/scene0191_00/label-filt scans/scene0191_00/pose scans/scene0191_00/intrinsic
scans/scene0477_00/depth scans/scene0477_00/color scans/scene0477_00/label-filt scans/scene0477_00/pose scans/scene0477_00/intrinsic
scans/scene0439_00/depth scans/scene0439_00/color scans/scene0439_00/label-filt scans/scene0439_00/pose scans/scene0439_00/intrinsic
scans/scene0468_00/depth scans/scene0468_00/color scans/scene0468_00/label-filt scans/scene0468_00/pose scans/scene0468_00/intrinsic
scans/scene0546_00/depth scans/scene0546_00/color scans/scene0546_00/label-filt scans/scene0546_00/pose scans/scene0546_00/intrinsic
scans/scene0466_00/depth scans/scene0466_00/color scans/scene0466_00/label-filt scans/scene0466_00/pose scans/scene0466_00/intrinsic
scans/scene0220_00/depth scans/scene0220_00/color scans/scene0220_00/label-filt scans/scene0220_00/pose scans/scene0220_00/intrinsic
scans/scene0122_00/depth scans/scene0122_00/color scans/scene0122_00/label-filt scans/scene0122_00/pose scans/scene0122_00/intrinsic
scans/scene0130_00/depth scans/scene0130_00/color scans/scene0130_00/label-filt scans/scene0130_00/pose scans/scene0130_00/intrinsic
scans/scene0110_00/depth scans/scene0110_00/color scans/scene0110_00/label-filt scans/scene0110_00/pose scans/scene0110_00/intrinsic
scans/scene0327_00/depth scans/scene0327_00/color scans/scene0327_00/label-filt scans/scene0327_00/pose scans/scene0327_00/intrinsic
scans/scene0156_00/depth scans/scene0156_00/color scans/scene0156_00/label-filt scans/scene0156_00/pose scans/scene0156_00/intrinsic
scans/scene0266_00/depth scans/scene0266_00/color scans/scene0266_00/label-filt scans/scene0266_00/pose scans/scene0266_00/intrinsic
scans/scene0001_00/depth scans/scene0001_00/color scans/scene0001_00/label-filt scans/scene0001_00/pose scans/scene0001_00/intrinsic
scans/scene0228_00/depth scans/scene0228_00/color scans/scene0228_00/label-filt scans/scene0228_00/pose scans/scene0228_00/intrinsic
scans/scene0199_00/depth scans/scene0199_00/color scans/scene0199_00/label-filt scans/scene0199_00/pose scans/scene0199_00/intrinsic
scans/scene0219_00/depth scans/scene0219_00/color scans/scene0219_00/label-filt scans/scene0219_00/pose scans/scene0219_00/intrinsic
scans/scene0464_00/depth scans/scene0464_00/color scans/scene0464_00/label-filt scans/scene0464_00/pose scans/scene0464_00/intrinsic
scans/scene0232_00/depth scans/scene0232_00/color scans/scene0232_00/label-filt scans/scene0232_00/pose scans/scene0232_00/intrinsic
scans/scene0299_00/depth scans/scene0299_00/color scans/scene0299_00/label-filt scans/scene0299_00/pose scans/scene0299_00/intrinsic
scans/scene0530_00/depth scans/scene0530_00/color scans/scene0530_00/label-filt scans/scene0530_00/pose scans/scene0530_00/intrinsic
scans/scene0363_00/depth scans/scene0363_00/color scans/scene0363_00/label-filt scans/scene0363_00/pose scans/scene0363_00/intrinsic
scans/scene0453_00/depth scans/scene0453_00/color scans/scene0453_00/label-filt scans/scene0453_00/pose scans/scene0453_00/intrinsic
scans/scene0570_00/depth scans/scene0570_00/color scans/scene0570_00/label-filt scans/scene0570_00/pose scans/scene0570_00/intrinsic
scans/scene0183_00/depth scans/scene0183_00/color scans/scene0183_00/label-filt scans/scene0183_00/pose scans/scene0183_00/intrinsic
scans/scene0239_00/depth scans/scene0239_00/color scans/scene0239_00/label-filt scans/scene0239_00/pose scans/scene0239_00/intrinsic
scans/scene0373_00/depth scans/scene0373_00/color scans/scene0373_00/label-filt scans/scene0373_00/pose scans/scene0373_00/intrinsic
scans/scene0241_00/depth scans/scene0241_00/color scans/scene0241_00/label-filt scans/scene0241_00/pose scans/scene0241_00/intrinsic
scans/scene0188_00/depth scans/scene0188_00/color scans/scene0188_00/label-filt scans/scene0188_00/pose scans/scene0188_00/intrinsic
scans/scene0622_00/depth scans/scene0622_00/color scans/scene0622_00/label-filt scans/scene0622_00/pose scans/scene0622_00/intrinsic
scans/scene0244_00/depth scans/scene0244_00/color scans/scene0244_00/label-filt scans/scene0244_00/pose scans/scene0244_00/intrinsic
scans/scene0691_00/depth scans/scene0691_00/color scans/scene0691_00/label-filt scans/scene0691_00/pose scans/scene0691_00/intrinsic
scans/scene0206_00/depth scans/scene0206_00/color scans/scene0206_00/label-filt scans/scene0206_00/pose scans/scene0206_00/intrinsic
scans/scene0247_00/depth scans/scene0247_00/color scans/scene0247_00/label-filt scans/scene0247_00/pose scans/scene0247_00/intrinsic
scans/scene0061_00/depth scans/scene0061_00/color scans/scene0061_00/label-filt scans/scene0061_00/pose scans/scene0061_00/intrinsic
scans/scene0082_00/depth scans/scene0082_00/color scans/scene0082_00/label-filt scans/scene0082_00/pose scans/scene0082_00/intrinsic
scans/scene0250_00/depth scans/scene0250_00/color scans/scene0250_00/label-filt scans/scene0250_00/pose scans/scene0250_00/intrinsic
scans/scene0501_00/depth scans/scene0501_00/color scans/scene0501_00/label-filt scans/scene0501_00/pose scans/scene0501_00/intrinsic
scans/scene0320_00/depth scans/scene0320_00/color scans/scene0320_00/label-filt scans/scene0320_00/pose scans/scene0320_00/intrinsic
scans/scene0631_00/depth scans/scene0631_00/color scans/scene0631_00/label-filt scans/scene0631_00/pose scans/scene0631_00/intrinsic
scans/scene0255_00/depth scans/scene0255_00/color scans/scene0255_00/label-filt scans/scene0255_00/pose scans/scene0255_00/intrinsic
scans/scene0047_00/depth scans/scene0047_00/color scans/scene0047_00/label-filt scans/scene0047_00/pose scans/scene0047_00/intrinsic
scans/scene0265_00/depth scans/scene0265_00/color scans/scene0265_00/label-filt scans/scene0265_00/pose scans/scene0265_00/intrinsic
scans/scene0004_00/depth scans/scene0004_00/color scans/scene0004_00/label-filt scans/scene0004_00/pose scans/scene0004_00/intrinsic
scans/scene0336_00/depth scans/scene0336_00/color scans/scene0336_00/label-filt scans/scene0336_00/pose scans/scene0336_00/intrinsic
scans/scene0058_00/depth scans/scene0058_00/color scans/scene0058_00/label-filt scans/scene0058_00/pose scans/scene0058_00/intrinsic
scans/scene0260_00/depth scans/scene0260_00/color scans/scene0260_00/label-filt scans/scene0260_00/pose scans/scene0260_00/intrinsic
scans/scene0243_00/depth scans/scene0243_00/color scans/scene0243_00/label-filt scans/scene0243_00/pose scans/scene0243_00/intrinsic
scans/scene0603_00/depth scans/scene0603_00/color scans/scene0603_00/label-filt scans/scene0603_00/pose scans/scene0603_00/intrinsic
scans/scene0093_00/depth scans/scene0093_00/color scans/scene0093_00/label-filt scans/scene0093_00/pose scans/scene0093_00/intrinsic
scans/scene0109_00/depth scans/scene0109_00/color scans/scene0109_00/label-filt scans/scene0109_00/pose scans/scene0109_00/intrinsic
scans/scene0434_00/depth scans/scene0434_00/color scans/scene0434_00/label-filt scans/scene0434_00/pose scans/scene0434_00/intrinsic
scans/scene0290_00/depth scans/scene0290_00/color scans/scene0290_00/label-filt scans/scene0290_00/pose scans/scene0290_00/intrinsic
scans/scene0627_00/depth scans/scene0627_00/color scans/scene0627_00/label-filt scans/scene0627_00/pose scans/scene0627_00/intrinsic
scans/scene0470_00/depth scans/scene0470_00/color scans/scene0470_00/label-filt scans/scene0470_00/pose scans/scene0470_00/intrinsic
scans/scene0137_00/depth scans/scene0137_00/color scans/scene0137_00/label-filt scans/scene0137_00/pose scans/scene0137_00/intrinsic
scans/scene0270_00/depth scans/scene0270_00/color scans/scene0270_00/label-filt scans/scene0270_00/pose scans/scene0270_00/intrinsic
scans/scene0271_00/depth scans/scene0271_00/color scans/scene0271_00/label-filt scans/scene0271_00/pose scans/scene0271_00/intrinsic
scans/scene0504_00/depth scans/scene0504_00/color scans/scene0504_00/label-filt scans/scene0504_00/pose scans/scene0504_00/intrinsic
scans/scene0274_00/depth scans/scene0274_00/color scans/scene0274_00/label-filt scans/scene0274_00/pose scans/scene0274_00/intrinsic
scans/scene0036_00/depth scans/scene0036_00/color scans/scene0036_00/label-filt scans/scene0036_00/pose scans/scene0036_00/intrinsic
scans/scene0276_00/depth scans/scene0276_00/color scans/scene0276_00/label-filt scans/scene0276_00/pose scans/scene0276_00/intrinsic
scans/scene0272_00/depth scans/scene0272_00/color scans/scene0272_00/label-filt scans/scene0272_00/pose scans/scene0272_00/intrinsic
scans/scene0499_00/depth scans/scene0499_00/color scans/scene0499_00/label-filt scans/scene0499_00/pose scans/scene0499_00/intrinsic
scans/scene0698_00/depth scans/scene0698_00/color scans/scene0698_00/label-filt scans/scene0698_00/pose scans/scene0698_00/intrinsic
scans/scene0051_00/depth scans/scene0051_00/color scans/scene0051_00/label-filt scans/scene0051_00/pose scans/scene0051_00/intrinsic
scans/scene0108_00/depth scans/scene0108_00/color scans/scene0108_00/label-filt scans/scene0108_00/pose scans/scene0108_00/intrinsic
scans/scene0245_00/depth scans/scene0245_00/color scans/scene0245_00/label-filt scans/scene0245_00/pose scans/scene0245_00/intrinsic
scans/scene0369_00/depth scans/scene0369_00/color scans/scene0369_00/label-filt scans/scene0369_00/pose scans/scene0369_00/intrinsic
scans/scene0284_00/depth scans/scene0284_00/color scans/scene0284_00/label-filt scans/scene0284_00/pose scans/scene0284_00/intrinsic
scans/scene0289_00/depth scans/scene0289_00/color scans/scene0289_00/label-filt scans/scene0289_00/pose scans/scene0289_00/intrinsic
scans/scene0286_00/depth scans/scene0286_00/color scans/scene0286_00/label-filt scans/scene0286_00/pose scans/scene0286_00/intrinsic
scans/scene0031_00/depth scans/scene0031_00/color scans/scene0031_00/label-filt scans/scene0031_00/pose scans/scene0031_00/intrinsic
scans/scene0545_00/depth scans/scene0545_00/color scans/scene0545_00/label-filt scans/scene0545_00/pose scans/scene0545_00/intrinsic
scans/scene0557_00/depth scans/scene0557_00/color scans/scene0557_00/label-filt scans/scene0557_00/pose scans/scene0557_00/intrinsic
scans/scene0533_00/depth scans/scene0533_00/color scans/scene0533_00/label-filt scans/scene0533_00/pose scans/scene0533_00/intrinsic
scans/scene0116_00/depth scans/scene0116_00/color scans/scene0116_00/label-filt scans/scene0116_00/pose scans/scene0116_00/intrinsic
scans/scene0611_00/depth scans/scene0611_00/color scans/scene0611_00/label-filt scans/scene0611_00/pose scans/scene0611_00/intrinsic
scans/scene0688_00/depth scans/scene0688_00/color scans/scene0688_00/label-filt scans/scene0688_00/pose scans/scene0688_00/intrinsic
scans/scene0294_00/depth scans/scene0294_00/color scans/scene0294_00/label-filt scans/scene0294_00/pose scans/scene0294_00/intrinsic
scans/scene0295_00/depth scans/scene0295_00/color scans/scene0295_00/label-filt scans/scene0295_00/pose scans/scene0295_00/intrinsic
scans/scene0296_00/depth scans/scene0296_00/color scans/scene0296_00/label-filt scans/scene0296_00/pose scans/scene0296_00/intrinsic
scans/scene0596_00/depth scans/scene0596_00/color scans/scene0596_00/label-filt scans/scene0596_00/pose scans/scene0596_00/intrinsic
scans/scene0532_00/depth scans/scene0532_00/color scans/scene0532_00/label-filt scans/scene0532_00/pose scans/scene0532_00/intrinsic
scans/scene0637_00/depth scans/scene0637_00/color scans/scene0637_00/label-filt scans/scene0637_00/pose scans/scene0637_00/intrinsic
scans/scene0638_00/depth scans/scene0638_00/color scans/scene0638_00/label-filt scans/scene0638_00/pose scans/scene0638_00/intrinsic
scans/scene0121_00/depth scans/scene0121_00/color scans/scene0121_00/label-filt scans/scene0121_00/pose scans/scene0121_00/intrinsic
scans/scene0040_00/depth scans/scene0040_00/color scans/scene0040_00/label-filt scans/scene0040_00/pose scans/scene0040_00/intrinsic
scans/scene0197_00/depth scans/scene0197_00/color scans/scene0197_00/label-filt scans/scene0197_00/pose scans/scene0197_00/intrinsic
scans/scene0410_00/depth scans/scene0410_00/color scans/scene0410_00/label-filt scans/scene0410_00/pose scans/scene0410_00/intrinsic
scans/scene0305_00/depth scans/scene0305_00/color scans/scene0305_00/label-filt scans/scene0305_00/pose scans/scene0305_00/intrinsic
scans/scene0615_00/depth scans/scene0615_00/color scans/scene0615_00/label-filt scans/scene0615_00/pose scans/scene0615_00/intrinsic
scans/scene0703_00/depth scans/scene0703_00/color scans/scene0703_00/label-filt scans/scene0703_00/pose scans/scene0703_00/intrinsic
scans/scene0555_00/depth scans/scene0555_00/color scans/scene0555_00/label-filt scans/scene0555_00/pose scans/scene0555_00/intrinsic
scans/scene0297_00/depth scans/scene0297_00/color scans/scene0297_00/label-filt scans/scene0297_00/pose scans/scene0297_00/intrinsic
scans/scene0582_00/depth scans/scene0582_00/color scans/scene0582_00/label-filt scans/scene0582_00/pose scans/scene0582_00/intrinsic
scans/scene0023_00/depth scans/scene0023_00/color scans/scene0023_00/label-filt scans/scene0023_00/pose scans/scene0023_00/intrinsic
scans/scene0094_00/depth scans/scene0094_00/color scans/scene0094_00/label-filt scans/scene0094_00/pose scans/scene0094_00/intrinsic
scans/scene0013_00/depth scans/scene0013_00/color scans/scene0013_00/label-filt scans/scene0013_00/pose scans/scene0013_00/intrinsic
scans/scene0136_00/depth scans/scene0136_00/color scans/scene0136_00/label-filt scans/scene0136_00/pose scans/scene0136_00/intrinsic
scans/scene0407_00/depth scans/scene0407_00/color scans/scene0407_00/label-filt scans/scene0407_00/pose scans/scene0407_00/intrinsic
scans/scene0062_00/depth scans/scene0062_00/color scans/scene0062_00/label-filt scans/scene0062_00/pose scans/scene0062_00/intrinsic
scans/scene0386_00/depth scans/scene0386_00/color scans/scene0386_00/label-filt scans/scene0386_00/pose scans/scene0386_00/intrinsic
scans/scene0318_00/depth scans/scene0318_00/color scans/scene0318_00/label-filt scans/scene0318_00/pose scans/scene0318_00/intrinsic
scans/scene0554_00/depth scans/scene0554_00/color scans/scene0554_00/label-filt scans/scene0554_00/pose scans/scene0554_00/intrinsic
scans/scene0497_00/depth scans/scene0497_00/color scans/scene0497_00/label-filt scans/scene0497_00/pose scans/scene0497_00/intrinsic
scans/scene0213_00/depth scans/scene0213_00/color scans/scene0213_00/label-filt scans/scene0213_00/pose scans/scene0213_00/intrinsic
scans/scene0258_00/depth scans/scene0258_00/color scans/scene0258_00/label-filt scans/scene0258_00/pose scans/scene0258_00/intrinsic
scans/scene0323_00/depth scans/scene0323_00/color scans/scene0323_00/label-filt scans/scene0323_00/pose scans/scene0323_00/intrinsic
scans/scene0324_00/depth scans/scene0324_00/color scans/scene0324_00/label-filt scans/scene0324_00/pose scans/scene0324_00/intrinsic
scans/scene0016_00/depth scans/scene0016_00/color scans/scene0016_00/label-filt scans/scene0016_00/pose scans/scene0016_00/intrinsic
scans/scene0681_00/depth scans/scene0681_00/color scans/scene0681_00/label-filt scans/scene0681_00/pose scans/scene0681_00/intrinsic
scans/scene0398_00/depth scans/scene0398_00/color scans/scene0398_00/label-filt scans/scene0398_00/pose scans/scene0398_00/intrinsic
scans/scene0227_00/depth scans/scene0227_00/color scans/scene0227_00/label-filt scans/scene0227_00/pose scans/scene0227_00/intrinsic
scans/scene0090_00/depth scans/scene0090_00/color scans/scene0090_00/label-filt scans/scene0090_00/pose scans/scene0090_00/intrinsic
scans/scene0066_00/depth scans/scene0066_00/color scans/scene0066_00/label-filt scans/scene0066_00/pose scans/scene0066_00/intrinsic
scans/scene0262_00/depth scans/scene0262_00/color scans/scene0262_00/label-filt scans/scene0262_00/pose scans/scene0262_00/intrinsic
scans/scene0155_00/depth scans/scene0155_00/color scans/scene0155_00/label-filt scans/scene0155_00/pose scans/scene0155_00/intrinsic
scans/scene0352_00/depth scans/scene0352_00/color scans/scene0352_00/label-filt scans/scene0352_00/pose scans/scene0352_00/intrinsic
scans/scene0038_00/depth scans/scene0038_00/color scans/scene0038_00/label-filt scans/scene0038_00/pose scans/scene0038_00/intrinsic
scans/scene0335_00/depth scans/scene0335_00/color scans/scene0335_00/label-filt scans/scene0335_00/pose scans/scene0335_00/intrinsic
scans/scene0261_00/depth scans/scene0261_00/color scans/scene0261_00/label-filt scans/scene0261_00/pose scans/scene0261_00/intrinsic
scans/scene0640_00/depth scans/scene0640_00/color scans/scene0640_00/label-filt scans/scene0640_00/pose scans/scene0640_00/intrinsic
scans/scene0080_00/depth scans/scene0080_00/color scans/scene0080_00/label-filt scans/scene0080_00/pose scans/scene0080_00/intrinsic
scans/scene0403_00/depth scans/scene0403_00/color scans/scene0403_00/label-filt scans/scene0403_00/pose scans/scene0403_00/intrinsic
scans/scene0282_00/depth scans/scene0282_00/color scans/scene0282_00/label-filt scans/scene0282_00/pose scans/scene0282_00/intrinsic
scans/scene0682_00/depth scans/scene0682_00/color scans/scene0682_00/label-filt scans/scene0682_00/pose scans/scene0682_00/intrinsic
scans/scene0173_00/depth scans/scene0173_00/color scans/scene0173_00/label-filt scans/scene0173_00/pose scans/scene0173_00/intrinsic
scans/scene0522_00/depth scans/scene0522_00/color scans/scene0522_00/label-filt scans/scene0522_00/pose scans/scene0522_00/intrinsic
scans/scene0687_00/depth scans/scene0687_00/color scans/scene0687_00/label-filt scans/scene0687_00/pose scans/scene0687_00/intrinsic
scans/scene0345_00/depth scans/scene0345_00/color scans/scene0345_00/label-filt scans/scene0345_00/pose scans/scene0345_00/intrinsic
scans/scene0612_00/depth scans/scene0612_00/color scans/scene0612_00/label-filt scans/scene0612_00/pose scans/scene0612_00/intrinsic
scans/scene0411_00/depth scans/scene0411_00/color scans/scene0411_00/label-filt scans/scene0411_00/pose scans/scene0411_00/intrinsic
scans/scene0625_00/depth scans/scene0625_00/color scans/scene0625_00/label-filt scans/scene0625_00/pose scans/scene0625_00/intrinsic
scans/scene0211_00/depth scans/scene0211_00/color scans/scene0211_00/label-filt scans/scene0211_00/pose scans/scene0211_00/intrinsic
scans/scene0676_00/depth scans/scene0676_00/color scans/scene0676_00/label-filt scans/scene0676_00/pose scans/scene0676_00/intrinsic
scans/scene0179_00/depth scans/scene0179_00/color scans/scene0179_00/label-filt scans/scene0179_00/pose scans/scene0179_00/intrinsic
scans/scene0498_00/depth scans/scene0498_00/color scans/scene0498_00/label-filt scans/scene0498_00/pose scans/scene0498_00/intrinsic
scans/scene0547_00/depth scans/scene0547_00/color scans/scene0547_00/label-filt scans/scene0547_00/pose scans/scene0547_00/intrinsic
scans/scene0269_00/depth scans/scene0269_00/color scans/scene0269_00/label-filt scans/scene0269_00/pose scans/scene0269_00/intrinsic
scans/scene0366_00/depth scans/scene0366_00/color scans/scene0366_00/label-filt scans/scene0366_00/pose scans/scene0366_00/intrinsic
scans/scene0680_00/depth scans/scene0680_00/color scans/scene0680_00/label-filt scans/scene0680_00/pose scans/scene0680_00/intrinsic
scans/scene0588_00/depth scans/scene0588_00/color scans/scene0588_00/label-filt scans/scene0588_00/pose scans/scene0588_00/intrinsic
scans/scene0346_00/depth scans/scene0346_00/color scans/scene0346_00/label-filt scans/scene0346_00/pose scans/scene0346_00/intrinsic
scans/scene0359_00/depth scans/scene0359_00/color scans/scene0359_00/label-filt scans/scene0359_00/pose scans/scene0359_00/intrinsic
scans/scene0014_00/depth scans/scene0014_00/color scans/scene0014_00/label-filt scans/scene0014_00/pose scans/scene0014_00/intrinsic
scans/scene0120_00/depth scans/scene0120_00/color scans/scene0120_00/label-filt scans/scene0120_00/pose scans/scene0120_00/intrinsic
scans/scene0212_00/depth scans/scene0212_00/color scans/scene0212_00/label-filt scans/scene0212_00/pose scans/scene0212_00/intrinsic
scans/scene0176_00/depth scans/scene0176_00/color scans/scene0176_00/label-filt scans/scene0176_00/pose scans/scene0176_00/intrinsic
scans/scene0049_00/depth scans/scene0049_00/color scans/scene0049_00/label-filt scans/scene0049_00/pose scans/scene0049_00/intrinsic
scans/scene0259_00/depth scans/scene0259_00/color scans/scene0259_00/label-filt scans/scene0259_00/pose scans/scene0259_00/intrinsic
scans/scene0586_00/depth scans/scene0586_00/color scans/scene0586_00/label-filt scans/scene0586_00/pose scans/scene0586_00/intrinsic
scans/scene0309_00/depth scans/scene0309_00/color scans/scene0309_00/label-filt scans/scene0309_00/pose scans/scene0309_00/intrinsic
scans/scene0125_00/depth scans/scene0125_00/color scans/scene0125_00/label-filt scans/scene0125_00/pose scans/scene0125_00/intrinsic
scans/scene0455_00/depth scans/scene0455_00/color scans/scene0455_00/label-filt scans/scene0455_00/pose scans/scene0455_00/intrinsic
scans/scene0177_00/depth scans/scene0177_00/color scans/scene0177_00/label-filt scans/scene0177_00/pose scans/scene0177_00/intrinsic
scans/scene0326_00/depth scans/scene0326_00/color scans/scene0326_00/label-filt scans/scene0326_00/pose scans/scene0326_00/intrinsic
scans/scene0372_00/depth scans/scene0372_00/color scans/scene0372_00/label-filt scans/scene0372_00/pose scans/scene0372_00/intrinsic
scans/scene0171_00/depth scans/scene0171_00/color scans/scene0171_00/label-filt scans/scene0171_00/pose scans/scene0171_00/intrinsic
scans/scene0374_00/depth scans/scene0374_00/color scans/scene0374_00/label-filt scans/scene0374_00/pose scans/scene0374_00/intrinsic
scans/scene0654_00/depth scans/scene0654_00/color scans/scene0654_00/label-filt scans/scene0654_00/pose scans/scene0654_00/intrinsic
scans/scene0445_00/depth scans/scene0445_00/color scans/scene0445_00/label-filt scans/scene0445_00/pose scans/scene0445_00/intrinsic
scans/scene0475_00/depth scans/scene0475_00/color scans/scene0475_00/label-filt scans/scene0475_00/pose scans/scene0475_00/intrinsic
scans/scene0349_00/depth scans/scene0349_00/color scans/scene0349_00/label-filt scans/scene0349_00/pose scans/scene0349_00/intrinsic
scans/scene0234_00/depth scans/scene0234_00/color scans/scene0234_00/label-filt scans/scene0234_00/pose scans/scene0234_00/intrinsic
scans/scene0669_00/depth scans/scene0669_00/color scans/scene0669_00/label-filt scans/scene0669_00/pose scans/scene0669_00/intrinsic
scans/scene0375_00/depth scans/scene0375_00/color scans/scene0375_00/label-filt scans/scene0375_00/pose scans/scene0375_00/intrinsic
scans/scene0387_00/depth scans/scene0387_00/color scans/scene0387_00/label-filt scans/scene0387_00/pose scans/scene0387_00/intrinsic
scans/scene0312_00/depth scans/scene0312_00/color scans/scene0312_00/label-filt scans/scene0312_00/pose scans/scene0312_00/intrinsic
scans/scene0384_00/depth scans/scene0384_00/color scans/scene0384_00/label-filt scans/scene0384_00/pose scans/scene0384_00/intrinsic
scans/scene0385_00/depth scans/scene0385_00/color scans/scene0385_00/label-filt scans/scene0385_00/pose scans/scene0385_00/intrinsic
scans/scene0000_00/depth scans/scene0000_00/color scans/scene0000_00/label-filt scans/scene0000_00/pose scans/scene0000_00/intrinsic
scans/scene0376_00/depth scans/scene0376_00/color scans/scene0376_00/label-filt scans/scene0376_00/pose scans/scene0376_00/intrinsic
scans/scene0301_00/depth scans/scene0301_00/color scans/scene0301_00/label-filt scans/scene0301_00/pose scans/scene0301_00/intrinsic
scans/scene0322_00/depth scans/scene0322_00/color scans/scene0322_00/label-filt scans/scene0322_00/pose scans/scene0322_00/intrinsic
scans/scene0542_00/depth scans/scene0542_00/color scans/scene0542_00/label-filt scans/scene0542_00/pose scans/scene0542_00/intrinsic
scans/scene0079_00/depth scans/scene0079_00/color scans/scene0079_00/label-filt scans/scene0079_00/pose scans/scene0079_00/intrinsic
scans/scene0099_00/depth scans/scene0099_00/color scans/scene0099_00/label-filt scans/scene0099_00/pose scans/scene0099_00/intrinsic
scans/scene0476_00/depth scans/scene0476_00/color scans/scene0476_00/label-filt scans/scene0476_00/pose scans/scene0476_00/intrinsic
scans/scene0394_00/depth scans/scene0394_00/color scans/scene0394_00/label-filt scans/scene0394_00/pose scans/scene0394_00/intrinsic
scans/scene0147_00/depth scans/scene0147_00/color scans/scene0147_00/label-filt scans/scene0147_00/pose scans/scene0147_00/intrinsic
scans/scene0067_00/depth scans/scene0067_00/color scans/scene0067_00/label-filt scans/scene0067_00/pose scans/scene0067_00/intrinsic
scans/scene0397_00/depth scans/scene0397_00/color scans/scene0397_00/label-filt scans/scene0397_00/pose scans/scene0397_00/intrinsic
scans/scene0337_00/depth scans/scene0337_00/color scans/scene0337_00/label-filt scans/scene0337_00/pose scans/scene0337_00/intrinsic
scans/scene0431_00/depth scans/scene0431_00/color scans/scene0431_00/label-filt scans/scene0431_00/pose scans/scene0431_00/intrinsic
scans/scene0223_00/depth scans/scene0223_00/color scans/scene0223_00/label-filt scans/scene0223_00/pose scans/scene0223_00/intrinsic
scans/scene0010_00/depth scans/scene0010_00/color scans/scene0010_00/label-filt scans/scene0010_00/pose scans/scene0010_00/intrinsic
scans/scene0402_00/depth scans/scene0402_00/color scans/scene0402_00/label-filt scans/scene0402_00/pose scans/scene0402_00/intrinsic
scans/scene0268_00/depth scans/scene0268_00/color scans/scene0268_00/label-filt scans/scene0268_00/pose scans/scene0268_00/intrinsic
scans/scene0679_00/depth scans/scene0679_00/color scans/scene0679_00/label-filt scans/scene0679_00/pose scans/scene0679_00/intrinsic
scans/scene0405_00/depth scans/scene0405_00/color scans/scene0405_00/label-filt scans/scene0405_00/pose scans/scene0405_00/intrinsic
scans/scene0128_00/depth scans/scene0128_00/color scans/scene0128_00/label-filt scans/scene0128_00/pose scans/scene0128_00/intrinsic
scans/scene0408_00/depth scans/scene0408_00/color scans/scene0408_00/label-filt scans/scene0408_00/pose scans/scene0408_00/intrinsic
scans/scene0190_00/depth scans/scene0190_00/color scans/scene0190_00/label-filt scans/scene0190_00/pose scans/scene0190_00/intrinsic
scans/scene0107_00/depth scans/scene0107_00/color scans/scene0107_00/label-filt scans/scene0107_00/pose scans/scene0107_00/intrinsic
scans/scene0076_00/depth scans/scene0076_00/color scans/scene0076_00/label-filt scans/scene0076_00/pose scans/scene0076_00/intrinsic
scans/scene0167_00/depth scans/scene0167_00/color scans/scene0167_00/label-filt scans/scene0167_00/pose scans/scene0167_00/intrinsic
scans/scene0361_00/depth scans/scene0361_00/color scans/scene0361_00/label-filt scans/scene0361_00/pose scans/scene0361_00/intrinsic
scans/scene0216_00/depth scans/scene0216_00/color scans/scene0216_00/label-filt scans/scene0216_00/pose scans/scene0216_00/intrinsic
scans/scene0202_00/depth scans/scene0202_00/color scans/scene0202_00/label-filt scans/scene0202_00/pose scans/scene0202_00/intrinsic
scans/scene0303_00/depth scans/scene0303_00/color scans/scene0303_00/label-filt scans/scene0303_00/pose scans/scene0303_00/intrinsic
scans/scene0446_00/depth scans/scene0446_00/color scans/scene0446_00/label-filt scans/scene0446_00/pose scans/scene0446_00/intrinsic
scans/scene0089_00/depth scans/scene0089_00/color scans/scene0089_00/label-filt scans/scene0089_00/pose scans/scene0089_00/intrinsic
scans/scene0360_00/depth scans/scene0360_00/color scans/scene0360_00/label-filt scans/scene0360_00/pose scans/scene0360_00/intrinsic
scans/scene0150_00/depth scans/scene0150_00/color scans/scene0150_00/label-filt scans/scene0150_00/pose scans/scene0150_00/intrinsic
scans/scene0421_00/depth scans/scene0421_00/color scans/scene0421_00/label-filt scans/scene0421_00/pose scans/scene0421_00/intrinsic
scans/scene0454_00/depth scans/scene0454_00/color scans/scene0454_00/label-filt scans/scene0454_00/pose scans/scene0454_00/intrinsic
scans/scene0626_00/depth scans/scene0626_00/color scans/scene0626_00/label-filt scans/scene0626_00/pose scans/scene0626_00/intrinsic
scans/scene0186_00/depth scans/scene0186_00/color scans/scene0186_00/label-filt scans/scene0186_00/pose scans/scene0186_00/intrinsic
scans/scene0538_00/depth scans/scene0538_00/color scans/scene0538_00/label-filt scans/scene0538_00/pose scans/scene0538_00/intrinsic
scans/scene0479_00/depth scans/scene0479_00/color scans/scene0479_00/label-filt scans/scene0479_00/pose scans/scene0479_00/intrinsic
scans/scene0656_00/depth scans/scene0656_00/color scans/scene0656_00/label-filt scans/scene0656_00/pose scans/scene0656_00/intrinsic
scans/scene0525_00/depth scans/scene0525_00/color scans/scene0525_00/label-filt scans/scene0525_00/pose scans/scene0525_00/intrinsic
scans/scene0308_00/depth scans/scene0308_00/color scans/scene0308_00/label-filt scans/scene0308_00/pose scans/scene0308_00/intrinsic
scans/scene0396_00/depth scans/scene0396_00/color scans/scene0396_00/label-filt scans/scene0396_00/pose scans/scene0396_00/intrinsic
